Name,ID,Ticker,Exchange
Weyerhaeuser,2542,WY,NYSE
F5 Networks,2315,FFIV,NASDAQ
Nordstrom,2435,JWN,NYSE
Starbucks,2496,4337,HKG
Starbucks,2496,SBUX,NASDAQ
Zillow,780,Z,NASDAQ
Zillow,780,ZG,NASDAQ
Expeditors,2313,EXPD,NASDAQ
Thermo Fisher Scientific,2509,TMO,NYSE
RTX,815,RTX,NYSE
Veralto,6984,VLTO,NYSE
Revvity,2455,RVTY,NYSE
Amcor,2207,AMCR,NYSE
ABB,798,ABB,NYSE
Chubb,2084,CB,NYSE
Host Hotels & Resorts,2358,HST,NASDAQ
Marriott International,2405,MAR,NASDAQ
Lockheed Martin,553,LMT,NYSE
Bath & Body Works,2388,BBWI,NYSE
Mettler Toledo,2413,MTD,NYSE
Huntington Bancshares,2360,HBAN,NASDAQ
American Electric Power,2209,AEP,NASDAQ
American Electric Power,2209,AEPPL,NASDAQ
American Electric Power,2209,AEPPZ,NASDAQ
Aflac,2195,AFL,NYSE
Cummins,2277,CMI,NYSE
Hikvision,106,2415,SZSE
Alibaba,21,9988,HKG
Alibaba,21,BABA,NYSE
Morgan Stanley,585,MS,NYSE
Tapestry,2504,TPR,NYSE
Philip Morris International,2118,PM,NYSE
Paramount Global,2530,PARA,NASDAQ
Paramount Global,2530,PARAA,NASDAQ
Paramount Global,2530,PARAP,NASDAQ
Assurant,2222,AIZ,NYSE
Assurant,2222,AIZN,NYSE
Lemonade,150,LMND,NYSE
Moody's,2420,MCO,NYSE
Omnicom Group,2445,OMC,NYSE
Goldman Sachs,471,GS,NYSE
Loews,2400,L,NYSE
Estée Lauder,2309,EL,NYSE
Capri Holdings,2243,CPRI,NYSE
Verizon,792,VZ,NYSE
American Express,328,AXP,NYSE
Vornado Realty Trust,2531,VNO,NYSE
Vornado Realty Trust,2531,VNO.PRL,NYSE
Vornado Realty Trust,2531,VNO.PRM,NYSE
Vornado Realty Trust,2531,VNO.PRN,NYSE
Vornado Realty Trust,2531,VNO.PRO,NYSE
American International Group,3105,AIG,NYSE
American International Group,3105,AIG PR A,NYSE
Pfizer,1928,PFE,NYSE
Msci,2423,MSCI,NYSE
Nasdaq,2425,NDAQ,NASDAQ
Marsh & Mclennan,2406,MMC,NYSE
Coty,2274,COTY,NYSE
Fox Corporation,2330,FOXA,NASDAQ
S&P Global,668,SPGI,NYSE
Colgate-Palmolive,2265,CL,NYSE
PVH,2467,PVH,NYSE
